	shop_id	shop_name	shop_group_name	lng	lat	comment_num	good_rate	avg_price	taste_score	env_score	ser_score	weighted_hits	favor_list	verse_taxi_distance	route	public_duration	category_name	category_id
42	69311960	海味观	海味观	121.461362	31.243222	266	88.3	254	9.0	9.0	8.7	13027.6	黑松露烤鸡,茅台百草醉蟹,油煎松露馄饨,松茸野菌炖鸽蛋,牛油果三文鱼色拉	-23070.0	杨高北路站(1口)->汉中路站(地铁12号线)	1小时7分	本帮江浙菜	101
43	67288814	鱼鲜馆农家菜	鱼鲜馆农家菜	121.061443	31.116391	530	92.6	77	9.0	8.9	9.1	26973.3	红烧野生河鳗,河鲜面疙瘩,白切鸡,螺蛳,乡下草鸡汤	-67987.0	杨高北路站(1口)->嘉善路站(地铁12号线)->洞泾站(地铁9号线)->朱家角(下客站)站(松朱专线)	3小时18分	本帮江浙菜	101
44	65325613	张小馆	张小馆	121.454840	31.236774	229	88.6	131	9.0	8.3	8.7	8775.9	捞汁水云丝,熏鱼,深井烧鹅,佐酒酥小骨,响油鳝丝	-23737.0	杨高北路站(1口)->大连路站(地铁12号线)->镇坪路站(地铁4号线)->昌平路站(地铁7号线)	1小时23分	本帮江浙菜	101
45	3585112	兰轩	兰轩	121.293066	31.338410	537	86.4	229	9.0	9.0	8.7	34339.5	鱼翅捞饭,捞拌凤爪,果木烤鸭,牛肉粒,鹅肝	-36135.0	杨高北路站(1口)->大连路站(地铁12号线)->曹杨路站(地铁4号线)->马陆站(地铁11号线)->宝安公路育兰路站(嘉定15路)	2小时3分	本帮江浙菜	101
46	3454873	嘉定公馆	嘉定公馆	121.260176	31.388490	557	92.6	239	9.0	9.2	8.7	25838.5	炆火焖雪花牛肉,红糖糕拼粢饭糕,蓝莓山药,阿拉斯加帝王蟹,水库一品鲜	-42477.0	杨高北路站(1口)->大连路站(地铁12号线)->曹杨路站(地铁4号线)->嘉定西站(地铁11号线)->博乐路塔城路站(嘉定11路)	2小时6分	本帮江浙菜	101
47	76969986	陶子餐厅	陶子餐厅	121.482771	31.264343	75	92.0	121	9.0	9.1	9.0	5474.8	粤式牛仔粒,纸片鱼,水晶虾仁,松鼠桂鱼,白斩鸡	-18890.0	杨高北路站(1口)->大连路站(地铁12号线)->宝山路站(地铁4号线)	1小时3分	本帮江浙菜	101
48	66545994	老爸厨房(水清路店)	老爸厨房	121.387960	31.121246	1156	93.6	79	9.0	9.1	9.1	9088.1	老爸自制黑豆腐,老爸色拉,黑胡椒牛肉粒炒年糕,老爸炒饭,响油鳝丝	-45928.0	杨高北路站(1口)->陕西南路站(地铁12号线)->莘庄站(地铁1号线)	2小时1分	本帮江浙菜	101
49	57993063	鲜菜坊(河鲜馆2店)	鲜菜坊	121.061102	31.115819	590	93.4	62	9.0	8.8	9.1	8349.8	河鲜面疙瘩,清蒸白水鱼,盐水河虾,银鱼炒蛋,鸡汤	-67394.0	杨高北路站(1口)->嘉善路站(地铁12号线)->洞泾站(地铁9号线)->朱家角(下客站)站(松朱专线)	3小时19分	本帮江浙菜	101
50	67006394	阿u家	阿u家	121.506701	31.218339	181	88.4	169	9.0	8.9	9.1	14114.0	咸蛋黄鸡翅,海鲜菜泡饭,凤爪红烧肉,响油鱔糊,雪碧加盐水棒冰	-19107.0	杨高北路站(1口)->大连路站(地铁12号线)->南浦大桥站(地铁4号线)	1小时7分	本帮江浙菜	101
51	17979414	品悦中餐厅	品悦中餐厅	121.806585	31.472740	300	84.3	249	9.0	9.2	9.0	10280.6	黑毛猪煨鲜鲍,农家酿茄子,菜饭,乡下浓汤,家户鸡	-42501.0	杨高北路站(1口)->巨峰路站(地铁12号线)->五洲大道站(地铁6号线)->陈家镇(长江大桥)站(申崇二线区间)->凯悦金茂酒店站(崇明东滩2路)	3小时11分	本帮江浙菜	101
